"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own bicycle
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,078 / 2,078";"100%";"2,076 / 2,076";"100%";"2,081 / 2,081";"100%";"3,095 / 3,095";"100%";"2,078 / 2,078";"100%";"2,082 / 2,082";"100%";"2,080 / 2,080";"100%";"2,073 / 2,073";"100%";"2,051 / 2,051";"100%"
"(Almost) daily";"201 / 2,078";"10%";"284 / 2,076";"14%";"121 / 2,081";"6%";"400 / 3,095";"13%";"202 / 2,078";"10%";"238 / 2,082";"11%";"155 / 2,080";"7%";"292 / 2,073";"14%";"255 / 2,051";"12%"
"2-5 times per week";"364 / 2,078";"18%";"378 / 2,076";"18%";"291 / 2,081";"14%";"703 / 3,095";"23%";"386 / 2,078";"19%";"518 / 2,082";"25%";"348 / 2,080";"17%";"343 / 2,073";"17%";"329 / 2,051";"16%"
"1-4 times per month";"464 / 2,078";"22%";"402 / 2,076";"19%";"362 / 2,081";"17%";"647 / 3,095";"21%";"400 / 2,078";"19%";"501 / 2,082";"24%";"367 / 2,080";"18%";"341 / 2,073";"16%";"383 / 2,051";"19%"
"Every 2-3 months";"188 / 2,078";"9%";"139 / 2,076";"7%";"160 / 2,081";"8%";"215 / 3,095";"7%";"140 / 2,078";"7%";"191 / 2,082";"9%";"97 / 2,080";"5%";"189 / 2,073";"9%";"151 / 2,051";"7%"
"Less often";"334 / 2,078";"16%";"366 / 2,076";"18%";"266 / 2,081";"13%";"347 / 3,095";"11%";"267 / 2,078";"13%";"244 / 2,082";"12%";"233 / 2,080";"11%";"412 / 2,073";"20%";"251 / 2,051";"12%"
"Not at all";"527 / 2,078";"25%";"507 / 2,076";"24%";"881 / 2,081";"42%";"783 / 3,095";"25%";"683 / 2,078";"33%";"390 / 2,082";"19%";"880 / 2,080";"42%";"496 / 2,073";"24%";"682 / 2,051";"33%"
""
""
"2021 - Update 3"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,066 / 2,066";"100%";"2,061 / 2,061";"100%";"2,063 / 2,063";"100%";"3,576 / 3,576";"100%";"2,061 / 2,061";"100%";"2,064 / 2,064";"100%";"2,066 / 2,066";"100%";"2,064 / 2,064";"100%";"2,047 / 2,047";"100%"
"(Almost) daily";"199 / 2,066";"10%";"280 / 2,061";"14%";"117 / 2,063";"6%";"495 / 3,576";"14%";"181 / 2,061";"9%";"252 / 2,064";"12%";"155 / 2,066";"8%";"306 / 2,064";"15%";"256 / 2,047";"13%"
"2-5 times per week";"363 / 2,066";"18%";"382 / 2,061";"19%";"278 / 2,063";"13%";"780 / 3,576";"22%";"384 / 2,061";"19%";"550 / 2,064";"27%";"346 / 2,066";"17%";"369 / 2,064";"18%";"321 / 2,047";"16%"
