"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own / household car
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,047 / 2,047";"100%";"4,061 / 4,061";"100%";"2,049 / 2,049";"100%";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,051 / 2,051";"100%";"2,031 / 2,031";"100%"
"(Almost) daily";"906 / 2,050";"44%";"917 / 2,045";"45%";"947 / 2,047";"46%";"1,837 / 4,061";"45%";"1,169 / 2,049";"57%";"1,000 / 2,050";"49%";"1,026 / 2,045";"50%";"735 / 2,051";"36%";"810 / 2,031";"40%"
"2-5 times per week";"583 / 2,050";"28%";"493 / 2,045";"24%";"565 / 2,047";"28%";"1,027 / 4,061";"25%";"514 / 2,049";"25%";"475 / 2,050";"23%";"525 / 2,045";"26%";"598 / 2,051";"29%";"525 / 2,031";"26%"
"1-4 times per month";"180 / 2,050";"9%";"156 / 2,045";"8%";"213 / 2,047";"10%";"329 / 4,061";"8%";"174 / 2,049";"8%";"180 / 2,050";"9%";"215 / 2,045";"11%";"221 / 2,051";"11%";"218 / 2,031";"11%"
"Every 2-3 months";"38 / 2,050";"2%";"27 / 2,045";"1%";"44 / 2,047";"2%";"67 / 4,061";"2%";"42 / 2,049";"2%";"38 / 2,050";"2%";"30 / 2,045";"1%";"59 / 2,051";"3%";"35 / 2,031";"2%"
"Less often";"28 / 2,050";"1%";"31 / 2,045";"2%";"36 / 2,047";"2%";"72 / 4,061";"2%";"43 / 2,049";"2%";"45 / 2,050";"2%";"41 / 2,045";"2%";"59 / 2,051";"3%";"45 / 2,031";"2%"
"Not at all";"315 / 2,050";"15%";"421 / 2,045";"21%";"242 / 2,047";"12%";"729 / 4,061";"18%";"107 / 2,049";"5%";"312 / 2,050";"15%";"208 / 2,045";"10%";"379 / 2,051";"18%";"398 / 2,031";"20%"
""
""
"2022 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,032 / 2,032";"100%";"2,033 / 2,033";"100%";"4,525 / 4,525";"100%";"2,032 / 2,032";"100%";"2,034 / 2,034";"100%";"2,029 / 2,029";"100%";"2,035 / 2,035";"100%";"2,012 / 2,012";"100%"
"(Almost) daily";"895 / 2,035";"44%";"928 / 2,032";"46%";"957 / 2,033";"47%";"2,057 / 4,525";"45%";"1,178 / 2,032";"58%";"956 / 2,034";"47%";"1,015 / 2,029";"50%";"731 / 2,035";"36%";"779 / 2,012";"39%"
"2-5 times per week";"563 / 2,035";"28%";"492 / 2,032";"24%";"553 / 2,033";"27%";"1,137 / 4,525";"25%";"486 / 2,032";"24%";"490 / 2,034";"24%";"508 / 2,029";"25%";"581 / 2,035";"29%";"517 / 2,012";"26%"
"1-4 times per month";"197 / 2,035";"10%";"148 / 2,032";"7%";"220 / 2,033";"11%";"353 / 4,525";"8%";"168 / 2,032";"8%";"192 / 2,034";"9%";"220 / 2,029";"11%";"209 / 2,035";"10%";"231 / 2,012";"11%"
"Every 2-3 months";"31 / 2,035";"2%";"28 / 2,032";"1%";"45 / 2,033";"2%";"73 / 4,525";"2%";"42 / 2,032";"2%";"38 / 2,034";"2%";"32 / 2,029";"2%";"66 / 2,035";"3%";"42 / 2,012";"2%"
"Less often";"26 / 2,035";"1%";"24 / 2,032";"1%";"42 / 2,033";"2%";"82 / 4,525";"2%";"43 / 2,032";"2%";"44 / 2,034";"2%";"47 / 2,029";"2%";"59 / 2,035";"3%";"47 / 2,012";"2%"
"Not at all";"323 / 2,035";"16%";"412 / 2,032";"20%";"216 / 2,033";"11%";"823 / 4,525";"18%";"115 / 2,032";"6%";"314 / 2,034";"15%";"207 / 2,029";"10%";"389 / 2,035";"19%";"396 / 2,012";"20%"
""
""
"2022 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,033 / 2,033";"100%";"2,035 / 2,035";"100%";"5,028 / 5,028";"100%";"2,030 / 2,030";"100%";"2,035 / 2,035";"100%";"2,029 / 2,029";"100%";"2,033 / 2,033";"100%";"1,773 / 1,773";"100%"
"(Almost) daily";"889 / 2,035";"44%";"903 / 2,033";"44%";"948 / 2,035";"47%";"2,268 / 5,028";"45%";"1,171 / 2,030";"58%";"950 / 2,035";"47%";"1,028 / 2,029";"51%";"737 / 2,033";"36%";"697 / 1,773";"39%"
"2-5 times per week";"565 / 2,035";"28%";"516 / 2,033";"25%";"559 / 2,035";"27%";"1,321 / 5,028";"26%";"498 / 2,030";"25%";"474 / 2,035";"23%";"502 / 2,029";"25%";"588 / 2,033";"29%";"462 / 1,773";"26%"
"1-4 times per month";"200 / 2,035";"10%";"146 / 2,033";"7%";"210 / 2,035";"10%";"392 / 5,028";"8%";"174 / 2,030";"9%";"199 / 2,035";"10%";"221 / 2,029";"11%";"209 / 2,033";"10%";"204 / 1,773";"12%"
"Every 2-3 months";"30 / 2,035";"1%";"31 / 2,033";"2%";"54 / 2,035";"3%";"94 / 5,028";"2%";"43 / 2,030";"2%";"44 / 2,035";"2%";"33 / 2,029";"2%";"65 / 2,033";"3%";"41 / 1,773";"2%"
"Less often";"23 / 2,035";"1%";"30 / 2,033";"1%";"51 / 2,035";"3%";"86 / 5,028";"2%";"35 / 2,030";"2%";"40 / 2,035";"2%";"50 / 2,029";"2%";"54 / 2,033";"3%";"42 / 1,773";"2%"
"Not at all";"328 / 2,035";"16%";"407 / 2,033";"20%";"213 / 2,035";"10%";"867 / 5,028";"17%";"109 / 2,030";"5%";"328 / 2,035";"16%";"195 / 2,029";"10%";"380 / 2,033";"19%";"327 / 1,773";"18%"
""
""
"2022 - Update 3"
""
